Species,Unknown,Research,Surveillance,total
Acinetobacter baumannii,12229,4342,11712,84849
Campylobacter coli,3744,2856,28173,104319
Campylobacter jejuni,12287,20645,61852,284352
Clostridioides difficile,14093,11651,3477,87663
Enterococcus faecalis,3641,3868,2164,29019
Enterococcus faecium,15943,11722,8907,109716
Escherichia coli,118224,103548,178072,1199532
Haemophilus influenzae,2271,7080,9,28080
Klebsiella pneumoniae,37696,24990,10277,218889
Listeria monocytogenes,19528,9850,37130,199524
Mycobacterium tuberculosis,58573,108242,13279,540282
Neisseria gonorrhoeae,8600,20474,28290,172092
Neisseria meningitidis,9392,25905,555,107556
Pseudomonas aeruginosa,24197,15186,3777,129480
Salmonella enterica,65646,54258,524795,1934097
Staphylococcus aureus,56340,62519,2568,364281
Streptococcus agalactiae,4452,14867,18056,112125
Streptococcus pneumoniae,30542,69411,21083,363108
Streptococcus pyogenes,11637,15079,19145,137583
Vibrio cholerae,8468,2944,1657,39207
